component,encoded_id,category,label,score_Utama,score_Madya,score_Muda,score_Pertama,level_eligibility,doctoral_excluded
PS,ps01,Tenaga Ahli,Menjadi tenaga ahli dalam forum teknis internasional,5,5,5,5,Utama/Madya/Muda/Pertama,
PS,ps02,Tenaga Ahli,Menjadi tenaga ahli dalam forum teknis nasional,2.5,2.5,2.5,2.5,Utama/Madya/Muda/Pertama,
PS,ps03,Perwakilan Negara,"Peran aktif dalam program/kegiatan internasional dan antar Kementerian/Lembaga, Industri",5,5,5,5,Utama/Madya/Muda/Pertama,
PS,ps04,Perwakilan Negara,Menjadi Ketua Delegasi Republik Indonesia,5,5,5,5,Utama/Madya/Muda/Pertama,
PS,ps05,Perwakilan Negara,Menjadi Anggota Delegasi Republik Indonesia,2.5,2.5,2.5,2.5,Utama/Madya/Muda/Pertama,
PS,ps06,Perwakilan Negara,National representative organisasi internasional,25,20,15,10,Utama/Madya/Muda/Pertama,
PS,ps07,Pendanaan Riset,Mendapatkan pendanaan kegiatan riset yang bersumber dari luar negeri,10,10,10,10,Utama/Madya/Muda/Pertama,
PS,ps08,Pendanaan Riset,Mendapatkan pendanaan kegiatan riset yang bersumber dari dalam negeri/eksternal BRIN,5,5,5,5,Utama/Madya/Muda/Pertama,
PS,ps09,Pendanaan Riset,Mendapatkan pendanaan kegiatan riset yang bersumber dari internal BRIN,2.5,2.5,2.5,2.5,Utama/Madya/Muda/Pertama,
PS,ps10,Tugas,Menjadi ketua/wakil ketua/sekretaris satuan tugas di tingkat internasional,10,10,10,10,Utama/Madya/Muda/Pertama,
PS,ps11,Tugas,Menjadi anggota satuan tugas di tingkat internasional,5,5,5,5,Utama/Madya/Muda/Pertama,
PS,ps12,Tugas,Menjadi ketua/wakil ketua/sekretaris satuan tugas di tingkat nasional,7.5,7.5,7.5,7.5,Utama/Madya/Muda/Pertama,
PS,ps13,Tugas,Menjadi anggota satuan tugas di tingkat nasional,5,5,5,5,Utama/Madya/Muda/Pertama,
PS,ps14,Tugas,"Menjadi koordinator/ketua /wakil ketua/sekretaris satuan tugas pada tingkat Lembaga/Organisasi Riset/Pusat Riset (termasuk tim manajemen risiko, reformasi birokrasi, kerja sama, penyusun modul atau tugas khusus di Pusat Riset)",5,5,5,5,Utama/Madya/Muda/Pertama,
PS,ps15,Tugas,"Menjadi anggota satuan tugas pada tingkat Lembaga/Organisasi Riset/Pusat riset (termasuk tim manajemen resiko, reformasi birokrasi, kerja sama, penyusun modul atau tugas khusus di Pusat Riset)",3,3,3,3,Utama/Madya/Muda/Pertama,
PS,ps16,Kepanitiaan Menjadi,ketua/wakil ketua/sekretaris penyelelenggaraan kegiatan internasional,5,5,5,5,Utama/Madya/Muda/Pertama,
PS,ps17,Kepanitiaan Menjadi anggota,penyelelenggaraan kegiatan internasional,3,3,3,3,Utama/Madya/Muda/Pertama,
PS,ps18,Kepanitiaan Menjadi,ketua/wakil ketua/sekretaris penyelelenggaraan kegiatan nasional,3,3,3,3,Utama/Madya/Muda/Pertama,
PS,ps19,Kepanitiaan Menjadi anggota,penyelenggaraan kegiatan pada tingkat nasional,1.5,1.5,1.5,1.5,Utama/Madya/Muda/Pertama,
PS,ps20,Kepanitiaan Menjadi,ketua/wakil ketua/sekretaris panitia penyelelenggaraan kegiatan internal BRIN,1.5,1.5,1.5,1.5,Utama/Madya/Muda/Pertama,
PS,ps21,Kepanitiaan Menjadi anggota,panitia penyelenggaraan kegiatan internal BRIN,1,1,1,1,Utama/Madya/Muda/Pertama,
PS,ps22,Saksi Ahli,Menjadi saksi ahli berdasarkan hasil riset yang dilakukan,5,5,5,5,Utama/Madya/Muda/Pertama,
PS,ps23,Tim Kegiatan Riset,Menjadi ketua kegiatan Riset yang melibatkan pihak eksternal instansi,15,15,15,15,Utama/Madya/Muda/Pertama,
PS,ps24,Tim Kegiatan Riset,Menjadi anggota kegiatan Riset yang melibatkan pihak eksternal instansi,7.5,7.5,7.5,7.5,Utama/Madya/Muda/Pertama,
PS,ps25,Tim Kegiatan Riset,Menjadi ketua/ leader kegiatan/kelompok riset pada internal instansi,10,10,10,10,Utama/Madya/Muda/Pertama,
PS,ps26,Tim Kegiatan Riset,Menjadi anggota kegiatan riset pada internal instansi,5,5,5,5,Utama/Madya/Muda/Pertama,
PS,ps27,Tim Reviewer,Sebagai juri lomba karya ilmiah internasional,7.5,7.5,7.5,7.5,Utama/Madya/Muda/Pertama,
PS,ps28,Tim Reviewer,Sebagai juri lomba karya ilmiah nasional,5,5,5,5,Utama/Madya/Muda/Pertama,
PS,ps29,Tim Reviewer,Peer review untuk naskah jurnal ilmiah terindeks global bereputasi tinggi,5,5,5,5,Utama/Madya/Muda/Pertama,
PS,ps30,Tim Reviewer,Peer review untuk naskah jurnal ilmiah terindeks global bereputasi menengah,4,4,4,4,Utama/Madya/Muda/Pertama,
PS,ps31,Tim Reviewer,Peer review untuk naskah jurnal ilmiah/buku terindeks global bereputasi,3,3,3,3,Utama/Madya/Muda/Pertama,
PS,ps32,Tim Reviewer,Peer review untuk naskah jurnal ilmiah terindeks global lainnya,2,2,2,2,Utama/Madya/Muda/Pertama,
PS,ps33,Tim Reviewer,Peer review untuk naskah jurnal ilmiah nasional,2,2,2,2,Utama/Madya/Muda/Pertama,
PS,ps34,Tim Reviewer,Peer review untuk prosiding internasional,2,2,2,2,Utama/Madya/Muda/Pertama,
PS,ps35,Tim Reviewer,Peer review untuk prosiding nasional,1,1,1,1,Utama/Madya/Muda/Pertama,
PS,ps36,Tim Reviewer,Dewan Redaksi ( Editorial Board ) pada publikasi internasional,5,5,5,5,Utama/Madya/Muda/Pertama,
PS,ps37,Tim Reviewer,Dewan Redaksi ( Editorial Board ) pada publikasi nasional,3,3,3,3,Utama/Madya/Muda/Pertama,
PS,ps38,Tim Reviewer,Menjadi Ketua Komisi Etik,25,20,,,Utama/Madya,
PS,ps39,Tim Reviewer,Menjadi Sekretaris Komisi Etik,20,15,10,7.5,Utama/Madya/Muda/Pertama,
PS,ps40,Tim Reviewer,Menjadi Anggota Komisi Etik,12.5,10,7.5,5,Utama/Madya/Muda/Pertama,
PS,ps41,Tim Reviewer,Menjadi Ketua Majelis Asesor Jabatan Fungsional Bidang dan Teknologi,25,,,,Utama,
PS,ps42,Tim Reviewer,Menjadi Anggota Majelis Asesor Jabatan Fungsional Bidang dan Teknologi,12.5,,,,Utama,
PS,ps43,Tim Reviewer,Menjadi Ketua Majelis Profesor Riset,25,,,,Utama,
PS,ps44,Tim Reviewer,Menjadi Sekretaris Majelis Profesor Riset,20,,,,Utama,
PS,ps45,Tim Reviewer,Menjadi Anggota Tim Penelaah Naskah Orasi,5,,,,Utama,
PS,ps46,Tim Reviewer,Menjadi Anggota Tim Penilai/ Tim Asesor dari Uji Kompetensi Jabatan Fungsional atau Sertifikasi SKKNI,2,2,2,2,Utama/Madya/Muda/Pertama,
PS,ps47,Tim Reviewer,Menjadi Anggota Tim Reviewer Tugas Belajar/ Degree by research,2,2,2,,Utama/Madya/Muda,
PS,ps48,Tim Reviewer,Menjadi reviewer proposal Riset di eksternal BRIN,2,2,,,Utama/Madya,
PS,ps49,Tim Reviewer,Menjadi reviewer proposal Riset di internal BRIN,1,1,,,Utama/Madya,
PS,ps50,Tim Reviewer,Sebagai Ketua Tim Reviewer hasil Riset,25,20,,,Utama/Madya,
PS,ps51,Tim Reviewer,Sebagai Anggota Tim Reviewer hasil Riset,20,15,10,10,Utama/Madya/Muda/Pertama,
PS,ps52,Kelompok Riset/ Program,"Sebagai Ketua Kelompok Riset/Program (Ketua Kelompok Riset, Koordinator Program, Chief Engineer, Manager Program, Group Leader )",15,15,15,15,Utama/Madya/Muda/Pertama,
PS,ps53,Kelompok Riset/ Program,Sebagai gugus pembantu Kelompok Riset/Program (Wakil Kelompok Riset atau Sekretaris Kelompok Riset),7.5,7.5,7.5,7.5,Utama/Madya/Muda/Pertama,
